"ICD-10-CM CODE","CCS CATEGORY","CCS CATEGORY DESCRIPTION"
"A150","1","Tuberculosis"
"A154","1","Tuberculosis"
"A155","1","Tuberculosis"
"A156","1","Tuberculosis"
"A157","1","Tuberculosis"
"A158","1","Tuberculosis"
"A159","1","Tuberculosis"
"A170","1","Tuberculosis"
"A171","1","Tuberculosis"
"A1781","1","Tuberculosis"
"A1782","1","Tuberculosis"
"A1783","1","Tuberculosis"
"A1789","1","Tuberculosis"
"A179","1","Tuberculosis"
"A1801","1","Tuberculosis"
"A1802","1","Tuberculosis"
"A1803","1","Tuberculosis"
"A1809","1","Tuberculosis"
"A1810","1","Tuberculosis"
"A1811","1","Tuberculosis"
"A1812","1","Tuberculosis"
"A1813","1","Tuberculosis"
"A1814","1","Tuberculosis"
"A1815","1","Tuberculosis"
"A1816","1","Tuberculosis"
"A1817","1","Tuberculosis"
"A1818","1","Tuberculosis"
"A182","1","Tuberculosis"
"A1831","1","Tuberculosis"
"A1832","1","Tuberculosis"
"A1839","1","Tuberculosis"
"A184","1","Tuberculosis"
"A1850","1","Tuberculosis"
"A1851","1","Tuberculosis"
"A1852","1","Tuberculosis"
"A1853","1","Tuberculosis"
"A1854","1","Tuberculosis"
"A1859","1","Tuberculosis"
"A186","1","Tuberculosis"
"A187","1","Tuberculosis"
"A1881","1","Tuberculosis"
"A1882","1","Tuberculosis"
"A1883","1","Tuberculosis"
"A1884","1","Tuberculosis"
"A1885","1","Tuberculosis"
"A1889","1","Tuberculosis"
"A190","1","Tuberculosis"
"A191","1","Tuberculosis"
"A192","1","Tuberculosis"
"A198","1","Tuberculosis"
"A199","1","Tuberculosis"
"B900","1","Tuberculosis"
"B901","1","Tuberculosis"
"B902","1","Tuberculosis"
"B908","1","Tuberculosis"
"B909","1","Tuberculosis"
"J65","1","Tuberculosis"
"Z8611","1","Tuberculosis"
"A021","2","Septicemia (except in labor)"
"A207","2","Septicemia (except in labor)"
"A227","2","Septicemia (except in labor)"
"A267","2","Septicemia (except in labor)"
"A327","2","Septicemia (except in labor)"
"A392","2","Septicemia (except in labor)"
"A393","2","Septicemia (except in labor)"
"A394","2","Septicemia (except in labor)"
"A400","2","Septicemia (except in labor)"
"A401","2","Septicemia (except in labor)"
"A403","2","Septicemia (except in labor)"
"A408","2","Septicemia (except in labor)"
"A409","2","Septicemia (except in labor)"
"A4101","2","Septicemia (except in labor)"
"A4102","2","Septicemia (except in labor)"
"A411","2","Septicemia (except in labor)"
"A412","2","Septicemia (except in labor)"
"A413","2","Septicemia (except in labor)"
"A414","2","Septicemia (except in labor)"
"A4150","2","Septicemia (except in labor)"
"A4151","2","Septicemia (except in labor)"
"A4152","2","Septicemia (except in labor)"
"A4153","2","Septicemia (except in labor)"
"A4159","2","Septicemia (except in labor)"
"A4181","2","Septicemia (except in labor)"
"A4189","2","Septicemia (except in labor)"
"A419","2","Septicemia (except in labor)"
"A427","2","Septicemia (except in labor)"
"A5486","2","Septicemia (except in labor)"
"B007","2","Septicemia (except in labor)"
"B377","2","Septicemia (except in labor)"
"I76","2","Septicemia (except in labor)"
"P360","2","Septicemia (except in labor)"
"P3610","2","Septicemia (except in labor)"
"P3619","2","Septicemia (except in labor)"
"P362","2","Septicemia (except in labor)"
"P3630","2","Septicemia (except in labor)"
"P3639","2","Septicemia (except in labor)"
"P364","2","Septicemia (except in labor)"
"P365","2","Septicemia (except in labor)"
"P368","2","Septicemia (except in labor)"
"P369","2","Septicemia (except in labor)"
"R6520","2","Septicemia (except in labor)"
"A0102","3","Bacterial infection; unspecified site"
"A200","3","Bacterial infection; unspecified site"
"A208","3","Bacterial infection; unspecified site"
"A209","3","Bacterial infection; unspecified site"
"A217","3","Bacterial infection; unspecified site"
"A218","3","Bacterial infection; unspecified site"
"A219","3","Bacterial infection; unspecified site"
"A228","3","Bacterial infection; unspecified site"
"A229","3","Bacterial infection; unspecified site"
"A230","3","Bacterial infection; unspecified site"
"A231","3","Bacterial infection; unspecified site"
"A232","3","Bacterial infection; unspecified site"
"A233","3","Bacterial infection; unspecified site"
"A238","3","Bacterial infection; unspecified site"
"A239","3","Bacterial infection; unspecified site"
"A240","3","Bacterial infection; unspecified site"
"A241","3","Bacterial infection; unspecified site"
"A242","3","Bacterial infection; unspecified site"
"A243","3","Bacterial infection; unspecified site"
"A249","3","Bacterial infection; unspecified site"
"A250","3","Bacterial infection; unspecified site"
"A251","3","Bacterial infection; unspecified site"
"A259","3","Bacterial infection; unspecified site"
"A260","3","Bacterial infection; unspecified site"
"A268","3","Bacterial infection; unspecified site"
"A269","3","Bacterial infection; unspecified site"
"A2789","3","Bacterial infection; unspecified site"
"A280","3","Bacterial infection; unspecified site"
