V1,i
39891,CHF
40201,CHF
40211,CHF
40291,CHF
40401,CHF
40403,CHF
40411,CHF
40413,CHF
40491,CHF
40493,CHF
428,CHF
4280,CHF
42800,CHF
42801,CHF
42802,CHF
42803,CHF
42804,CHF
42805,CHF
42806,CHF
42807,CHF
42808,CHF
42809,CHF
4281,CHF
42810,CHF
42811,CHF
42812,CHF
42813,CHF
42814,CHF
42815,CHF
42816,CHF
42817,CHF
42818,CHF
42819,CHF
4282,CHF
42820,CHF
42821,CHF
42822,CHF
42823,CHF
42824,CHF
42825,CHF
42826,CHF
42827,CHF
42828,CHF
42829,CHF
4283,CHF
42830,CHF
42831,CHF
42832,CHF
42833,CHF
42834,CHF
42835,CHF
42836,CHF
42837,CHF
42838,CHF
42839,CHF
4284,CHF
42840,CHF
42841,CHF
42842,CHF
42843,CHF
42844,CHF
42845,CHF
42846,CHF
42847,CHF
42848,CHF
42849,CHF
4285,CHF
42850,CHF
42851,CHF
42852,CHF
42853,CHF
42854,CHF
42855,CHF
42856,CHF
42857,CHF
42858,CHF
42859,CHF
4286,CHF
42860,CHF
42861,CHF
42862,CHF
42863,CHF
42864,CHF
42865,CHF
42866,CHF
42867,CHF
42868,CHF
42869,CHF
4287,CHF
42870,CHF
42871,CHF
42872,CHF
42873,CHF
42874,CHF
42875,CHF
42876,CHF
42877,CHF
42878,CHF
42879,CHF
4288,CHF
42880,CHF
42881,CHF
42882,CHF
42883,CHF
42884,CHF
42885,CHF
42886,CHF
42887,CHF
42888,CHF
42889,CHF
4289,CHF
42890,CHF
42891,CHF
42892,CHF
42893,CHF
42894,CHF
42895,CHF
42896,CHF
42897,CHF
42898,CHF
42899,CHF
932,Valvular
9320,Valvular
9321,Valvular
9322,Valvular
9323,Valvular
9324,Valvular
9325,Valvular
9326,Valvular
9327,Valvular
9328,Valvular
9329,Valvular
394,Valvular
3940,Valvular
39400,Valvular
39401,Valvular
39402,Valvular
39403,Valvular
39404,Valvular
39405,Valvular
39406,Valvular
39407,Valvular
39408,Valvular
39409,Valvular
3941,Valvular
39410,Valvular
39411,Valvular
39412,Valvular
39413,Valvular
39414,Valvular
39415,Valvular
39416,Valvular
39417,Valvular
39418,Valvular
39419,Valvular
3942,Valvular
39420,Valvular
39421,Valvular
39422,Valvular
39423,Valvular
39424,Valvular
39425,Valvular
