"ICD-9-CM CODE","CCS CATEGORY","CCS CATEGORY DESCRIPTION"
"01001","1","Tuberculosis"
"01002","1","Tuberculosis"
"01003","1","Tuberculosis"
"01004","1","Tuberculosis"
"01005","1","Tuberculosis"
"01006","1","Tuberculosis"
"01010","1","Tuberculosis"
"01011","1","Tuberculosis"
"01012","1","Tuberculosis"
"01013","1","Tuberculosis"
"01014","1","Tuberculosis"
"01015","1","Tuberculosis"
"01016","1","Tuberculosis"
"01080","1","Tuberculosis"
"01081","1","Tuberculosis"
"01082","1","Tuberculosis"
"01083","1","Tuberculosis"
"01084","1","Tuberculosis"
"01085","1","Tuberculosis"
"01086","1","Tuberculosis"
"01090","1","Tuberculosis"
"01091","1","Tuberculosis"
"01092","1","Tuberculosis"
"01093","1","Tuberculosis"
"01094","1","Tuberculosis"
"01095","1","Tuberculosis"
"01096","1","Tuberculosis"
"01100","1","Tuberculosis"
"01101","1","Tuberculosis"
"01102","1","Tuberculosis"
"01103","1","Tuberculosis"
"01104","1","Tuberculosis"
"01105","1","Tuberculosis"
"01106","1","Tuberculosis"
"01110","1","Tuberculosis"
"01111","1","Tuberculosis"
"01112","1","Tuberculosis"
"01113","1","Tuberculosis"
"01114","1","Tuberculosis"
"01115","1","Tuberculosis"
"01116","1","Tuberculosis"
"01120","1","Tuberculosis"
"01121","1","Tuberculosis"
"01122","1","Tuberculosis"
"01123","1","Tuberculosis"
"01124","1","Tuberculosis"
"01125","1","Tuberculosis"
"01126","1","Tuberculosis"
"01130","1","Tuberculosis"
"01131","1","Tuberculosis"
"01132","1","Tuberculosis"
"01133","1","Tuberculosis"
"01134","1","Tuberculosis"
"01135","1","Tuberculosis"
"01136","1","Tuberculosis"
"01140","1","Tuberculosis"
"01141","1","Tuberculosis"
"01142","1","Tuberculosis"
"01143","1","Tuberculosis"
"01144","1","Tuberculosis"
"01145","1","Tuberculosis"
"01146","1","Tuberculosis"
"01150","1","Tuberculosis"
"01151","1","Tuberculosis"
"01152","1","Tuberculosis"
"01153","1","Tuberculosis"
"01154","1","Tuberculosis"
"01155","1","Tuberculosis"
"01156","1","Tuberculosis"
"01160","1","Tuberculosis"
"01161","1","Tuberculosis"
"01162","1","Tuberculosis"
"01163","1","Tuberculosis"
"01164","1","Tuberculosis"
"01165","1","Tuberculosis"
"01166","1","Tuberculosis"
"01170","1","Tuberculosis"
"01171","1","Tuberculosis"
"01172","1","Tuberculosis"
"01173","1","Tuberculosis"
"01174","1","Tuberculosis"
"01175","1","Tuberculosis"
"01176","1","Tuberculosis"
"01180","1","Tuberculosis"
"01181","1","Tuberculosis"
"01182","1","Tuberculosis"
"01183","1","Tuberculosis"
"01184","1","Tuberculosis"
"01185","1","Tuberculosis"
"01186","1","Tuberculosis"
"01190","1","Tuberculosis"
"01191","1","Tuberculosis"
"01192","1","Tuberculosis"
"01193","1","Tuberculosis"
"01194","1","Tuberculosis"
"01195","1","Tuberculosis"
"01196","1","Tuberculosis"
"01200","1","Tuberculosis"
"01201","1","Tuberculosis"
"01202","1","Tuberculosis"
"01203","1","Tuberculosis"
"01204","1","Tuberculosis"
"01205","1","Tuberculosis"
"01206","1","Tuberculosis"
"01210","1","Tuberculosis"
"01211","1","Tuberculosis"
"01212","1","Tuberculosis"
"01213","1","Tuberculosis"
"01214","1","Tuberculosis"
"01215","1","Tuberculosis"
"01216","1","Tuberculosis"
"01220","1","Tuberculosis"
"01221","1","Tuberculosis"
"01222","1","Tuberculosis"
"01223","1","Tuberculosis"
"01224","1","Tuberculosis"
"01225","1","Tuberculosis"
"01226","1","Tuberculosis"
"01230","1","Tuberculosis"
"01231","1","Tuberculosis"
"01232","1","Tuberculosis"
"01233","1","Tuberculosis"
"01234","1","Tuberculosis"
"01235","1","Tuberculosis"
"01236","1","Tuberculosis"
"01280","1","Tuberculosis"
"01281","1","Tuberculosis"
"01282","1","Tuberculosis"
"01283","1","Tuberculosis"
"01284","1","Tuberculosis"
"01285","1","Tuberculosis"
"01286","1","Tuberculosis"
"01300","1","Tuberculosis"
"01301","1","Tuberculosis"
"01302","1","Tuberculosis"
"01303","1","Tuberculosis"
"01304","1","Tuberculosis"
"01305","1","Tuberculosis"
"01306","1","Tuberculosis"
"01310","1","Tuberculosis"
"01311","1","Tuberculosis"
"01312","1","Tuberculosis"
"01313","1","Tuberculosis"
"01314","1","Tuberculosis"
"01315","1","Tuberculosis"
"01316","1","Tuberculosis"
"01320","1","Tuberculosis"
"01321","1","Tuberculosis"
"01322","1","Tuberculosis"
"01323","1","Tuberculosis"
"01324","1","Tuberculosis"
"01325","1","Tuberculosis"
"01326","1","Tuberculosis"
"01330","1","Tuberculosis"
"01331","1","Tuberculosis"
"01332","1","Tuberculosis"
"01333","1","Tuberculosis"
"01334","1","Tuberculosis"
"01335","1","Tuberculosis"
"01336","1","Tuberculosis"
"01340","1","Tuberculosis"
"01341","1","Tuberculosis"
"01342","1","Tuberculosis"
"01343","1","Tuberculosis"
"01344","1","Tuberculosis"
"01345","1","Tuberculosis"
"01346","1","Tuberculosis"
"01350","1","Tuberculosis"
"01351","1","Tuberculosis"
"01352","1","Tuberculosis"
"01353","1","Tuberculosis"
"01354","1","Tuberculosis"
"01355","1","Tuberculosis"
"01356","1","Tuberculosis"
"01360","1","Tuberculosis"
"01361","1","Tuberculosis"
"01362","1","Tuberculosis"
"01363","1","Tuberculosis"
"01364","1","Tuberculosis"
"01365","1","Tuberculosis"
"01366","1","Tuberculosis"
"01380","1","Tuberculosis"
"01381","1","Tuberculosis"
"01382","1","Tuberculosis"
"01383","1","Tuberculosis"
"01384","1","Tuberculosis"
"01385","1","Tuberculosis"
"01386","1","Tuberculosis"
"01390","1","Tuberculosis"
"01391","1","Tuberculosis"
"01392","1","Tuberculosis"
"01393","1","Tuberculosis"
"01394","1","Tuberculosis"
"01395","1","Tuberculosis"
"01396","1","Tuberculosis"
"01400","1","Tuberculosis"
"01401","1","Tuberculosis"
"01402","1","Tuberculosis"
"01403","1","Tuberculosis"
"01404","1","Tuberculosis"
"01405","1","Tuberculosis"
"01406","1","Tuberculosis"
"01480","1","Tuberculosis"
"01481","1","Tuberculosis"
"01482","1","Tuberculosis"
"01483","1","Tuberculosis"
"01484","1","Tuberculosis"
"01485","1","Tuberculosis"
"01486","1","Tuberculosis"
"01500","1","Tuberculosis"
"01501","1","Tuberculosis"
"01502","1","Tuberculosis"
"01503","1","Tuberculosis"
"01504","1","Tuberculosis"
"01505","1","Tuberculosis"
"01506","1","Tuberculosis"
"01510","1","Tuberculosis"
